Organization Name: ,License #:,C.B.T.,N-14-3245-13-706,,,,
Session Instance:,CBT - 8/1/2015  10:18:24AM,,,,,,
"Total
Sales","Voided
Sales","Net
Sales",Item,Price,Sold,Voided,Net
POS Buttons,,,,,,,
$25 Tab-e,$25.00,11,$275.00,1,$25.00,10,$250.00
$45 2 Computers /Paper,$45.00,112,"$5,040.00",1,$45.00,111,"$4,995.00"
$5 off,-$5.00,-8,-$40.00,0,$0.00,-8,-$40.00
25 points $5 off,-$5.00,-19,-$95.00,0,$0.00,-19,-$95.00
50 Points $10 off,-$10.00,-1,-$10.00,0,$0.00,-1,-$10.00
Admission,$0.00,125,$0.00,2,$0.00,123,$0.00
Extra Computer $15,$15.00,28,$420.00,0,$0.00,28,$420.00
Option 1 $25 Paper,$25.00,2,$50.00,0,$0.00,2,$50.00
Xtra $5paper Early Bird,$5.00,3,$15.00,0,$0.00,3,$15.00
Sub-Total:,253,"$5,655.00",4,$70.00,249,"$5,585.00",
,,,,,,,
Progressive ,,,,,,,
,$0.00,0,$0.00,0,$0.00,0,$0.00
Sub-Total:,0,$0.00,0,P0.00,0,P0.00,
GRAND TOTAL:,253,"$5,655.00",4,$70.00,249,"$5,585.00",
,,,,,,,
Less: Total Value Of Redeemed Points,$0.53,$0.00,$0.53,,,,
,,,,,,,
,,,,,,,
Less: Total Value of Redeemed Coupons,$0.00,$0.00,$0.00,Less: Total Value of Excess Coupons,$0.00,$0.00,$0.00
,,,,,,,
,,,,,,,
Less: Total Value of Redeemed Gift Certificates,$0.00,$0.00,$0.00,,,,
,,,,,,,
NET TOTAL:,253,"$5,654.48",4,$70.00,249,"$5,584.48",
POS Transaction Number Summary: ,,,,,,,
Electronic Bingo Supplier Fees:,Device,Units Sold,Rate,Total Due,,,
Tab-e,114,$0.00,$0.00,,,,
PowerTouch,7,$0.00,$0.00,,,,
,,First Transaction Number:,16-0132043,Last Transaction Number:,16-0132322,Total Transactions:,129
,,,,,,,
Reloaded Transactions:,,,,,,,
None,,,,,,,
,, - ,1/0/1900  12:00:00 AM,,,,
,,,,,,,
,,,,,,,
Voided Transactions:,,,,,,,
,Transactions:,Date/Time,Amount,,,,
16-0132164,8/1/2015  11:44:53 AM,-$45.00,,,,,
16-0132193,8/1/2015  11:53:20 AM,-$25.00,,,,,
-$70.00,,,,,,,
,,,,,,,
,,,,,,,
Failed Transactions:,,,,,,,
None,,,,,,,
,1/0/1900  12:00:00 AM,,,,,,
,,,,,,,
,,,,,,,
POS Coupons:,,,,,,,
Item,Value,Redeemed,Total,Voided,Total,Net,Total
,,0,$0.00,0,$0.00,0,$0.00
Total Coupons,0,$0.00,0,$0.00,0,$0.00,
,,,,,,,
POS Gift Certificates:,,,,,,,
Item,Value,Redeemed,Total,Voided,Total,Net,Total
,,0,$0.00,0,$0.00,0,$0.00
Total Gift Certificates,0,$0.00,0,$0.00,0,$0.00,
