Organization Name,License #:,Jerusalem Connection,N-09-1330-12396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Instance:,Jerusalem Connection - 7/26/2015  10:44:10AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALES,"Total
Sales","Voided
Sales","Net
Sales",Item,,Sold,Voided,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Bingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 Upick 8 Square,354,$0.00,0,$0.00,354,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 Upick 9 Square,99,$0.00,0,$0.00,99,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total:,453,$0.00,0,$0.00,453,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progressive Bingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 upick Paper,37,$0.00,0,$0.00,37,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big 9 UPGRADE,99,$0.00,0,$0.00,99,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky 7 eUpgrade,167,$0.00,0,$0.00,167,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY 7 PAPER,61,$0.00,0,$0.00,61,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Star-JC-Tab,33,$0.00,0,$0.00,33,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick 8 -Paper,96,$0.00,0,$0.00,96,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab UPick 7 Square,167,$0.00,0,$0.00,167,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle-JC-Tab,24,$0.00,0,$0.00,24,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upgrade Pick 8,354,$0.00,0,$0.00,354,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total:,1038,$0.00,0,$0.00,1038,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales - Progressive Bingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
